timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,heart_rate_bpm,label
0,0.0,9.851529530716384,0.0,-0.2637268063553841,0.23160994216077455,-0.21462032132524292,78,sitting
20,0.0,9.624215703341203,0.0,0.20987220753159036,-0.033098842297912365,-0.1657093267082794,69,sitting
40,0.0,9.818802588728778,0.0,-0.6948170950964526,0.6399436611230106,-0.3679068273083305,65,sitting
60,0.0,9.66035591913624,0.0,0.24311875747215164,1.0565208742483594,-0.8376332629940134,76,sitting
80,0.0,9.717087283192521,0.0,-0.10882892450341765,0.46524048649175337,-0.14777689391346813,78,sitting
100,0.0,9.687785208673768,0.0,0.020375013055073922,-0.44892503411137563,0.3214832047000564,77,sitting
120,0.0,9.82647638741767,0.0,0.08776738724867635,0.5918443301935112,0.8142882227926108,76,sitting
140,0.0,9.76900044464835,0.0,0.1668822282403658,0.2050833478322871,-0.5444899873577255,65,sitting
160,0.0,9.989942530382777,0.0,0.3602264925702448,-0.7320598203602249,-0.19802352292335787,76,sitting
180,0.0,9.82510551552807,0.0,0.10407954880542546,-1.021022399029305,0.22942975481059102,73,sitting
200,0.0,9.746848572414999,0.0,-0.14628865938390567,0.4467343316540931,-0.20515876863367977,67,sitting
220,0.0,9.762463688217531,0.0,-0.6325824078470471,-0.37223530917459857,0.10190922902155486,73,sitting
240,0.0,9.853886219306203,0.0,-0.4166964389788966,-0.1952798127292733,0.6044109509166614,76,sitting
260,0.0,9.833245746011489,0.0,0.09680261996597227,0.01778371370659706,0.19693064023861756,71,sitting
280,0.0,9.71681073729454,0.0,0.008911552991596164,0.005207999053716472,1.0814729072281495,75,sitting
300,0.0,9.900992100023661,0.0,-0.3546544099581422,0.2886862063132808,0.21923251702938998,67,sitting
320,0.0,9.7824172807599,0.0,0.6805294745804017,0.34492805807477567,0.7413703158174884,77,sitting
340,0.0,9.817709565625597,0.0,0.8735162407661247,0.010701511415364004,0.07756635841498873,73,sitting
